Sample-#, CA-V, CA-I, CB-V, CB-I 
31, 4.79759216309, 0.19989014254, 4.79179382324, 0.985717750154
32, 4.79774475098, 0.0701904282323, 4.79179382324, 1.06964109
33, 4.79751586914, 0.0778198227636, 4.79194641113, 1.03912351187
34, 4.79751586914, 0.154113775352, 4.79187011719, 0.970458961092
35, 4.79774475098, 0.0625610337011, 4.79187011719, 0.970458961092
36, 4.79759216309, 0.100708006357, 4.79187011719, 1.10015866812
37, 4.79782104492, 0.123596197227, 4.79187011719, 1.09252927359
38, 4.79759216309, 0.0930786118261, 4.79164123535, 0.993347144686
39, 4.79774475098, 0.100708006357, 4.79187011719, 1.05438230094
40, 4.7974395752, 0.0167846683325, 4.79164123535, 1.14593503531
41, 4.7974395752, 0.108337400889, 4.7917175293, 1.05438230094
42, 4.7974395752, 0.123596197227, 4.79164123535, 1.01623532828
43, 4.79736328125, 0.123596197227, 4.79179382324, 1.11541745719
44, 4.7974395752, 0.26092529879, 4.79164123535, 1.05438230094
45, 4.79736328125, 0.100708006357, 4.79156494141, 1.17645261344
46, 4.7972869873, 0.0930786118261, 4.79187011719, 0.993347144686
47, 4.79766845703, 0.100708006357, 4.7917175293, 1.01623532828
48, 4.79774475098, -0.0518798842677, 4.79179382324, 0.993347144686
49, 4.79751586914, 0.108337400889, 4.79187011719, 0.985717750154
50, 4.79759216309, 0.0778198227636, 4.7917175293, 1.08489987906
51, 4.79736328125, 0.0549316391698, 4.7917175293, 1.01623532828
52, 4.79736328125, 0.0930786118261, 4.79156494141, 1.12304685172
53, 4.79721069336, 0.146484380821, 4.79156494141, 1.03912351187
54, 4.79759216309, 0.0854492172948, 4.79194641113, 0.993347144686
55, 4.79759216309, 0.0167846683325, 4.79179382324, 0.863647437654
56, 4.7974395752, 0.0473022446386, 4.79156494141, 0.962829566561
57, 4.7974395752, 0.146484380821, 4.7917175293, 0.978088355623
58, 4.7974395752, 0.123596197227, 4.79179382324, 0.924682593904
59, 4.7972869873, 0.0625610337011, 4.7917175293, 1.06964109
60, 4.79759216309, 0.0854492172948, 4.79179382324, 1.0467529064
61, 4.79759216309, 0.100708006357, 4.79187011719, 1.06201169547
62, 4.7974395752, 0.230407720665, 4.79187011719, 1.03149411734
63, 4.79766845703, 0.0473022446386, 4.79179382324, 1.07727048453
64, 4.7974395752, 0.0167846683325, 4.79164123535, 0.909423804842
65, 4.79751586914, 0.0778198227636, 4.79194641113, 1.07727048453
66, 4.7974395752, 0.0625610337011, 4.79179382324, 1.13830564078
67, 4.7974395752, 0.215148931602, 4.7917175293, 1.05438230094
68, 4.79759216309, 0.0549316391698, 4.79179382324, 0.985717750154
69, 4.79766845703, 0.154113775352, 4.7917175293, 0.947570777498
70, 4.79766845703, 0.169372564415, 4.79194641113, 1.10778806265
71, 4.79759216309, 0.177001958946, 4.79164123535, 1.12304685172
