Sample-#, CA-V, CA-I, CB-V, CB-I 
62, 4.77638244629, 0.0091552738013, 4.77043151855, 1.0467529064
63, 4.77638244629, 0.0930786118261, 4.77043151855, 1.05438230094
64, 4.77645874023, 0.0167846683325, 4.77043151855, 0.993347144686
65, 4.77661132813, 0.0930786118261, 4.77035522461, 0.978088355623
66, 4.77653503418, -0.028991698855, 4.77043151855, 1.05438230094
67, 4.77645874023, 0.0854492172948, 4.77043151855, 0.970458961092
68, 4.77661132813, 0.11596679542, 4.77035522461, 1.01623532828
69, 4.77653503418, 0.0930786118261, 4.7705078125, 1.00860593375
70, 4.77676391602, 0.0091552738013, 4.77058410645, 1.03149411734
71, 4.77653503418, 0.146484380821, 4.7705078125, 1.10015866812
72, 4.77676391602, 0.0396728501073, 4.7705078125, 1.05438230094
73, 4.77661132813, 0.0396728501073, 4.77035522461, 1.05438230094
74, 4.77661132813, -0.0747680678614, 4.7705078125, 1.05438230094
75, 4.77645874023, 0.100708006357, 4.77043151855, 1.06964109
76, 4.77661132813, 0.0854492172948, 4.7705078125, 1.00860593375
77, 4.77645874023, 0.123596197227, 4.7705078125, 1.02386472281
78, 4.77661132813, 0.100708006357, 4.7705078125, 1.00097653922
79, 4.77645874023, -0.0213623043237, 4.7705078125, 1.06964109
80, 4.77653503418, 0.0473022446386, 4.77035522461, 0.947570777498
81, 4.77638244629, 0.13885498629, 4.77043151855, 1.17645261344
82, 4.77638244629, 0.0549316391698, 4.77035522461, 1.03912351187
83, 4.77638244629, 0.0778198227636, 4.77035522461, 0.856018043123
84, 4.77653503418, 0.169372564415, 4.77043151855, 1.02386472281
85, 4.77638244629, 0.100708006357, 4.77020263672, 0.962829566561
86, 4.77645874023, 0.0625610337011, 4.77020263672, 0.962829566561
87, 4.77630615234, 0.11596679542, 4.77020263672, 1.00097653922
88, 4.77607727051, 0.100708006357, 4.77005004883, 1.03149411734
89, 4.77653503418, 0.0091552738013, 4.77035522461, 1.03912351187
90, 4.77653503418, 0.0930786118261, 4.77035522461, 1.02386472281
91, 4.77645874023, 0.00152587892899, 4.77043151855, 1.03149411734
92, 4.7762298584, 0.0701904282323, 4.77027893066, 0.985717750154
93, 4.77645874023, 0.108337400889, 4.77020263672, 1.05438230094
94, 4.77630615234, 0.0930786118261, 4.77012634277, 0.985717750154
95, 4.77645874023, 0.0701904282323, 4.77035522461, 1.16119382437
96, 4.77645874023, 0.108337400889, 4.77035522461, 0.909423804842
97, 4.77661132813, 0.0320434555761, 4.7705078125, 1.03149411734
98, 4.77653503418, 0.131225591758, 4.77043151855, 1.00860593375
99, 4.77653503418, 0.13885498629, 4.7705078125, 1.16119382437
100, 4.77653503418, 0.0167846683325, 4.77043151855, 1.00860593375
101, 4.77645874023, 0.0625610337011, 4.7705078125, 1.03912351187
102, 4.77645874023, -0.00610351571595, 4.77035522461, 1.00860593375
103, 4.77661132813, 0.0091552738013, 4.77066040039, 0.978088355623
104, 4.77630615234, 0.0091552738013, 4.77027893066, 1.00860593375
105, 4.77638244629, 0.0549316391698, 4.77035522461, 1.09252927359
106, 4.7762298584, 0.0549316391698, 4.77043151855, 1.03149411734
107, 4.77653503418, 0.123596197227, 4.77043151855, 1.01623532828
108, 4.77653503418, 0.177001958946, 4.7705078125, 0.985717750154
109, 4.77645874023, 0.184631353477, 4.77043151855, 1.13830564078
110, 4.77630615234, 0.0244140628638, 4.77058410645, 1.12304685172
111, 4.77645874023, -0.0137329097925, 4.77043151855, 0.978088355623
112, 4.77653503418, 0.123596197227, 4.77043151855, 1.09252927359
113, 4.77653503418, 0.19989014254, 4.77058410645, 0.947570777498
114, 4.77638244629, -0.0442504897364, 4.7705078125, 1.05438230094
115, 4.77653503418, 0.0320434555761, 4.77035522461, 1.09252927359
116, 4.77645874023, 0.0625610337011, 4.77035522461, 0.970458961092
117, 4.77645874023, 0.11596679542, 4.7705078125, 1.00860593375
118, 4.77668762207, 0.0320434555761, 4.7705078125, 1.06964109
119, 4.77638244629, 0.0091552738013, 4.77035522461, 0.917053199373
120, 4.77638244629, 0.0625610337011, 4.77027893066, 1.0467529064
121, 4.77630615234, 0.123596197227, 4.77027893066, 1.01623532828
122, 4.7762298584, 0.154113775352, 4.77043151855, 1.09252927359
123, 4.77630615234, 0.11596679542, 4.77020263672, 1.03912351187
124, 4.77661132813, 0.123596197227, 4.7705078125, 0.978088355623
125, 4.7762298584, 0.154113775352, 4.77035522461, 0.917053199373
126, 4.7762298584, 0.0778198227636, 4.77020263672, 0.993347144686
127, 4.77600097656, 0.11596679542, 4.77005004883, 0.993347144686
128, 4.77638244629, -0.0137329097925, 4.77020263672, 0.901794410311
129, 4.77630615234, 0.0701904282323, 4.77035522461, 1.02386472281
130, 4.77653503418, 0.0091552738013, 4.77035522461, 0.993347144686
131, 4.77653503418, 0.0930786118261, 4.77035522461, 1.02386472281
132, 4.77638244629, 0.154113775352, 4.77020263672, 1.02386472281
133, 4.77615356445, 0.0320434555761, 4.77012634277, 1.00097653922
134, 4.77630615234, 0.11596679542, 4.77027893066, 1.02386472281
135, 4.77645874023, 0.0930786118261, 4.77043151855, 1.07727048453
136, 4.77653503418, 0.100708006357, 4.77043151855, 0.978088355623
137, 4.77638244629, 0.13885498629, 4.77020263672, 1.02386472281
138, 4.7762298584, 0.100708006357, 4.77020263672, 0.962829566561
139, 4.77630615234, -0.0137329097925, 4.77005004883, 1.03149411734
140, 4.7762298584, 0.169372564415, 4.77020263672, 1.00860593375
141, 4.77645874023, 0.161743169883, 4.77035522461, 1.03912351187
142, 4.77645874023, 0.11596679542, 4.77043151855, 0.932311988436
143, 4.77653503418, 0.154113775352, 4.77043151855, 0.978088355623
144, 4.77645874023, 0.0625610337011, 4.77035522461, 1.05438230094
145, 4.77645874023, 0.0778198227636, 4.77043151855, 1.08489987906
146, 4.77653503418, 0.177001958946, 4.77035522461, 1.05438230094
147, 4.77638244629, 0.0167846683325, 4.77027893066, 1.13067624625
148, 4.77645874023, 0.100708006357, 4.77027893066, 1.01623532828
149, 4.77653503418, 0.0396728501073, 4.7705078125, 1.08489987906
150, 4.77653503418, 0.0320434555761, 4.77043151855, 1.06964109
151, 4.77653503418, 0.123596197227, 4.7705078125, 1.02386472281
152, 4.77653503418, 0.108337400889, 4.77020263672, 0.955200172029
153, 4.77638244629, 0.146484380821, 4.77043151855, 1.00860593375
154, 4.77638244629, 0.0473022446386, 4.77066040039, 1.05438230094
155, 4.77653503418, 0.0091552738013, 4.77043151855, 1.03149411734
156, 4.77638244629, 0.0396728501073, 4.77043151855, 1.10015866812
157, 4.77653503418, 0.0625610337011, 4.77035522461, 0.917053199373
